Link,Charger Name,Google Review Rate,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,Address,Source,EgL07d src,R8c4Qb,EgL07d src 2,R8c4Qb 2,A5dCOc src,JpCtJf,Power,yNqZw,lmLZWe,W4Efsd 5,Opening Time,Contact,Second Contact Number,fontBodyMedium
https://www.google.com/maps/place/EVup+Charging+Station/data=!4m7!3m6!1s0x6ad66b52e1cbe879:0x192f8f6439c0985b!8m2!3d-37.9427717!4d145.117778!16s%2Fg%2F11fjvtkqcg!19sChIJeejL4VJr1moRW5jAOWSPLxk?authuser=0&hl=en&rclk=1,EVup Charging Station,3,-4,·,Electric vehicle charging station,·,Unit 32/536 Clayton Rd,https://www.evup.com.au/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,,Total,2,·,,1300 388 700,,
https://www.google.com/maps/place/Evolution+Universal+Charging+Station/data=!4m7!3m6!1s0x6ad66b22448e37a5:0x18dc8b93494bea3f!8m2!3d-37.9326298!4d145.0977292!16s%2Fg%2F11j0s2wlxz!19sChIJpTeORCJr1moRP-pLSZOL3Bg?authuser=0&hl=en&rclk=1,Evolution Universal Charging Station,,,·,Electric vehicle charging station,·,23-25 Bunney Rd,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 7 kW,Total,1,,,,,No reviews
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad6054a7811f025:0xca13298f3ee324d3!8m2!3d-38.1099888!4d145.336415!16s%2Fg%2F11fk19gp9_!19sChIJJfAReEoF1moR0yTjPo8pE8o?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,,,·,Electric vehicle charging station,·,66 Deoro Parade,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,1,,,,,No reviews
https://www.google.com/maps/place/Electric+Vehicle+Charging+Station/data=!4m7!3m6!1s0x6ad66f67fc2e0c7b:0xc6205985a066b045!8m2!3d-37.9556732!4d145.0385755!16s%2Fg%2F11fpgh6fqp!19sChIJewwu_Gdv1moRRbBmoIVZIMY?authuser=0&hl=en&rclk=1,Electric Vehicle Charging Station,,,·,Electric vehicle charging station,·,325A Bay Rd,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,Total,1,,,,,No reviews
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad6421bc653d08f:0x40400856866443a0!8m2!3d-37.8448741!4d145.0420954!16s%2Fg%2F11ggr98jjt!19sChIJj9BTxhtC1moRoENkhlYIQEA?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,5,-1,·,Electric vehicle charging station,·,755 Toorak Rd,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,1,·,Open 24 hours,,,
https://www.google.com/maps/place/Electric+Vehicle+Charging+Station/data=!4m7!3m6!1s0x6ad611cc029315c5:0x7d898c372a96bddb!8m2!3d-38.0870087!4d145.2795685!16s%2Fg%2F11nmhytt3s!19sChIJxRWTAswR1moR272WKjeMiX0?authuser=0&hl=en&rclk=1,Electric Vehicle Charging Station,1,-3,·,Electric vehicle charging station,·,1063 S Gippsland Hwy,,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,,,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,,Total,4,,,,,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad6155d61cb623b:0xa17bca668eff56f3!8m2!3d-37.9058135!4d145.159594!16s%2Fg%2F11fq9mnm5r!19sChIJO2LLYV0V1moR81b_jmbKe6E?authuser=0&hl=en&rclk=1,Chargefox Charging Station,,,·,Electric vehicle charging station,·,565-577 Springvale Rd,https://www.chargepoint.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,,2-Feb,·,Open 24 hours,1300 518 038,,No reviews
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad615298ffffffb:0xb81fc19dfc7fc5a8!8m2!3d-37.9280757!4d145.1437915!16s%2Fg%2F11sqcs_vx_!19sChIJ-___jykV1moRqMV__J3BH7g?authuser=0&hl=en&rclk=1,Chargefox Charging Station,,,·,Electric vehicle charging station,·,917 Princes Hwy,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,,4-Apr,·,1300 518 038,,,No reviews
https://www.google.com/maps/place/ChargePoint+Charging+Station/data=!4m7!3m6!1s0x6ad6476f9aa6c821:0xfaa546e8bbfa658b!8m2!3d-37.7852548!4d145.1257933!16s%2Fg%2F11ggr997p6!19sChIJIcimmm9H1moRi2X6u-hGpfo?authuser=0&hl=en&rclk=1,ChargePoint Charging Station,2,-1,·,Electric vehicle charging station,·,619 Doncaster Rd,https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,J1772,· 6.6 kW,Total,4,,,,,
https://www.google.com/maps/place/Chargefox+Charging+Station/data=!4m7!3m6!1s0x6ad615a582ef1bcb:0xc430dae2c40884d1!8m2!3d-37.9357283!4d145.1898176!16s%2Fg%2F11h085n35t!19sChIJyxvvgqUV1moR0YQIxOLaMMQ?authuser=0&hl=en&rclk=1,Chargefox Charging Station,,,·,Electric vehicle charging station,·,"Waverley Gardens, 271 Police Rd",https://www.chargefox.com/,https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png,Website,https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png,Directions,https://www.gstatic.com/images/icons/material/system_gm/2x/ev_station_gm_blue_24dp.png,Type 2,· 22 kW,,,·,,1300 518 038,,No reviews
